item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4410,ZHUMIR PINA COLADA 700CCX12,LOJA,200,186,93.0,130,151,36.825,27.856314297321457,0.7564511689700327
3682,VIVANT LIPOTERMICA 500X40,AZOGUES,200,170,85.0,161,150,487.21,267.8749537643849,0.5498141535772765
4521,SWITCH BONGO 350CCX12 NG,MACHALA,200,190,95.0,92,150,28.215,24.209487217964448,0.8580360523822239
3682,VIVANT LIPOTERMICA 500X40,GUAYAQUIL,200,168,84.0,161,150,334.205,199.6321062963611,0.5973342897214616
3682,VIVANT LIPOTERMICA 500X40,STO. DOMINGO,200,163,81.5,161,150,117.66,78.48447914929858,0.6670446978522742
4356,ZHUMIR TACAO 700CCX12,QUITO,200,182,91.0,125,149,147.57,283.31479216109847,1.919867128556607
4356,ZHUMIR TACAO 700CCX12,CUENCA,200,187,93.5,125,148,37.955,44.650996995177124,1.1764193649104762
4516,SWITCH BONGO BONGO X6 NG,ESMERALDAS,200,179,89.5,112,146,392.93,515.754981658469,1.3125874370968593
4409,ZHUMIR AGUAR PA SUAVE 350CCX24,STO. DOMINGO,200,194,97.0,129,145,15.99,13.506741290981608,0.844699267728681
3682,VIVANT LIPOTERMICA 500X40,AMBATO,200,161,80.5,156,145,87.435,67.28209402121338,0.7695098532763011
4410,ZHUMIR PINA COLADA 700CCX12,RIOBAMBA,200,185,92.5,131,145,28.69,25.32093300495079,0.8825699897159563
4389,RON RONERO 750CCX12,GUAYAQUIL,200,196,98.0,56,143,36.85,32.35244819982891,0.877949747620866
4483,VENETTO CEREZA 1500CCX6,RIOBAMBA,200,193,96.5,96,143,23.035,20.237876201959264,0.8785707055332869
3892,NICETEA 1250CC X6,IBARRA,200,171,85.5,154,143,264.275,208.96122449322635,0.790696147926313
4333,NICETEA 450CCX24,IBARRA,200,166,83.0,153,142,594.175,453.5191866263113,0.763275443474248
4410,ZHUMIR PINA COLADA 700CCX12,AMBATO,200,187,93.5,111,142,38.54,35.397504383542554,0.9184614526087845
4521,SWITCH BONGO 350CCX12 NG,IBARRA,200,161,80.5,153,142,345.785,233.9836329262945,0.6766737508171102
4520,SWITCH MARACUYA 350CCX12 NG,IBARRA,200,161,80.5,153,142,96.44,131.79406198258457,1.3665912690023285
4411,ZH CANUTO CANA SELECTA 700CCX6,AZOGUES,200,192,96.0,99,142,18.23,13.96935267184388,0.7662837450270916
4351,VIVANT ST MORA 450CC X 40,IBARRA,200,160,80.0,152,141,380.735,474.2576158650804,1.2456370332779503
3362,AGUA VIVANT 6 LITROS X 4,IBARRA,200,171,85.5,152,141,473.005,291.91431071291277,0.6171484671682388
4352,VIVANT ST MANZANA 450CC X 40,IBARRA,200,161,80.5,152,141,417.325,509.864707027621,1.2217449398613096
